temperature,thermistor_resistance
21,11.54
22,11.26
24,10.26
26,9.34
28,8.56
30,7.81
32,7.21
34,6.55
36,6.10
38,5.63
40,5.18
42,4.81
44,4.45
46,4.09
48,3.80
50,3.51
52,3.25
54,3.00
56,2.76
58,2.54
60,2.34
62,2.16
64,2.00
66,1.85
68,1.71
70,1.59
72,1.48
74,1.37
76,1.28
78,1.19
80,1.11
82,1.03
84,0.97
86,0.90
88,0.85
90,0.80
92,0.76
