theta,u_theta,I,u_I
-40,1,30.95,0.1
-39,1,30.99,0.1
-38,1,30.91,0.1
-37,1,32.75,0.1
-36,1,32.84,0.1
-35,1,30.91,0.1
-34,1,31.03,0.1
51,1,17.66,0.1
52,1,17.54,0.1
53,1,17.54,0.1
54,1,17.53,0.1
55,1,17.57,0.1
56,1,17.59,0.1
