theta,u_theta,I,u_I
-30,1,32.41,0.1
-29,1,32.18,0.1
-28,1,32.54,0.1
-27,1,32.54,0.1
-26,1,32.50,0.1
-25,1,32.20,0.1
-24,1,32.25,0.1
-23,1,32.04,0.1
66,1,9.42,0.1
65,1,9.37,0.1
64,1,9.33,0.1
63,1,9.32,0.1
62,1,9.34,0.1
61,1,9.34,0.1
60,1,9.44,0.1
59,1,9.38,0.1
