theta,u_theta,I,u_I
-90,1,21.26,0.1
-85,1,21.89,0.1
-80,1,22.26,0.1
-75,1,22.97,0.1
-70,1,23.63,0.1
-65,1,24.25,0.1
-60,1,25.03,0.1
-55,1,25.45,0.1
-50,1,25.68,0.1
-45,1,25.97,0.1
-40,1,26.83,0.1
-35,1,26.91,0.1
-30,1,26.94,0.1
-25,1,26.79,0.1
-20,1,26.41,0.1
-15,1,26.06,0.1
-10,1,25.78,0.1
-5,1,25.21,0.1
0,1,24.95,0.1
5,1,24.15,0.1
10,1,23.87,0.1
15,1,22.97,0.1
20,1,21.84,0.1
25,1,20.97,0.1
30,1,20.29,0.1
35,1,19.30,0.1
40,1,18.65,0.1
45,1,18.14,0.1
50,1,17.52,0.1
55,1,17.37,0.1
60,1,17.41,0.1
65,1,17.68,0.1
70,1,18.17,0.1
75,1,18.51,0.1
80,1,19.11,0.1
85,1,19.66,0.1
90,1,20.43,0.1
