T,u_T,R,u_R
95,1,100,1
92,1,100,1
89,1,100,1
86,1,100,1
83,1,100,1
80,1,100,1
77,1,100,1
74,1,100,1
71,1,100,1
68,1,100,1
65,1,100,1
62,1,100,1
59,1,100,1
56,1,100,1
53,1,100,1
50,1,100,1
47,1,100,1
44,1,100,1
41,1,100,1
38,1,100,1
33,1,100,1
29,1,100,1
