T,u_T,R,u_R
94,1,159,1
91,1,159,1
88,1,156,1
85,1,154,1
82,1,151,1
79,1,149,1
76,1,147,1
73,1,145,1
70,1,143,1
67,1,141,1
64,1,139,1
61,1,137,1
58,1,135,1
55,1,133,1
52,1,131,1
49,1,129,1
46,1,127,1
43,1,125,1
40,1,124,1
37,1,122,1
34,1,120,1
31,1,119,1
