series,I,u_I,t,u_t
1,80,1.5,3.39,0.4
1,70,1.5,5.71,0.4
1,60,1.5,13.22,0.4
1,50,1.5,24.10,0.4
1,40,1.5,37.87,0.4
1,30,1.5,56.34,0.4
1,20,1.5,82.56,0.4
1,10,1.5,128.99,0.4
2,80,1.5,1.92,0.4
2,70,1.5,6.32,0.4
2,60,1.5,14.66,0.4
2,50,1.5,25.89,0.4
2,40,1.5,39.14,0.4
2,30,1.5,58.87,0.4
2,20,1.5,84.88,0.4
2,10,1.5,130.66,0.4
3,80,1.5,3.69,0.4
3,70,1.5,9.37,0.4
3,60,1.5,17.55,0.4
3,50,1.5,28.64,0.4
3,40,1.5,41.85,0.4
3,30,1.5,60.91,0.4
3,20,1.5,86.96,0.4
3,10,1.5,132.33,0.4
4,80,1.5,1.69,0.4
4,70,1.5,7.31,0.4
4,60,1.5,15.54,0.4
4,50,1.5,26.81,0.4
4,40,1.5,40.44,0.4
4,30,1.5,58.90,0.4
4,20,1.5,84.75,0.4
4,10,1.5,129.45,0.4
5,80,1.5,2.99,0.4
5,70,1.5,8.62,0.4
5,60,1.5,17.04,0.4
5,50,1.5,28.22,0.4
5,40,1.5,41.57,0.4
5,30,1.5,60.32,0.4
5,20,1.5,85.99,0.4
5,10,1.5,130.29,0.4
