series,m,u_m
1,663.3,0.1
1,663.2,0.1
1,663.3,0.1
1,663.2,0.1
1,663.2,0.1
2,490.8,0.1
2,490.9,0.1
2,490.9,0.1
2,490.9,0.1
2,490.9,0.1
3,538.9,0.1
3,538.8,0.1
3,538.8,0.1
3,538.9,0.1
3,538.8,0.1
4,652.1,0.1
4,652.0,0.1
4,652.1,0.1
4,652.0,0.1
4,652.1,0.1
