T,u_T,R,u_R
22,1,114,1
24,1,115,1
27,1,117,1
30,1,119,1
33,1,121,1
36,1,123,1
39,1,124,1
42,1,126,1
45,1,127,1
48,1,129,1
51,1,131,1
54,1,133,1
57,1,135,1
60,1,136,1
63,1,139,1
66,1,141,1
69,1,143,1
72,1,145,1
75,1,146,1
78,1,148,1
81,1,151,1
84,1,153,1
87,1,155,1
90,1,157,1
93,1,159,1
