T,u_T,R,u_R
22,1,109,1
25,1,110,1
28,1,112,1
31,1,113,1
34,1,114,1
37,1,115,1
40,1,117,1
43,1,118,1
46,1,119,1
49,1,120,1
52,1,121,1
55,1,122,1
58,1,123,1
61,1,124,1
64,1,125,1
67,1,126,1
70,1,127,1
73,1,129,1
76,1,130,1
79,1,131,1
82,1,132,1
85,1,134,1
88,1,135,1
91,1,136,1
94,1,137,1
