temperature,voltage
84,3.600
82,3.504
80,3.421
78,3.320
76,3.221
74,3.126
72,3.027
70,2.935
68,2.818
66,2.735
64,2.630
62,2.541
60,2.438
58,2.350
56,2.250
54,2.158
52,2.044
50,1.927
48,1.844
46,1.759
44,1.675
42,1.612
40,1.541
38,1.467
36,1.383
34,1.308
32,1.233
30,1.161
28,1.097
26,0.990
24,0.850
22,0.772
20,0.701
