r,u_r
0.74,0.01
1.16,0.01
1.59,0.01
2.02,0.01
2.45,0.01
2.88,0.01
3.30,0.01
3.73,0.01
4.16,0.01
4.59,0.01
5.02,0.01
5.44,0.01
5.88,0.01
6.30,0.01
6.72,0.01
7.16,0.01
7.57,0.01
7.99,0.01
8.45,0.01
8.88,0.01
