r,u_r
0.17,0.01
0.55,0.01
0.95,0.01
1.35,0.01
1.75,0.01
2.16,0.01
2.56,0.01
2.96,0.01
3.36,0.01
3.77,0.01
4.17,0.01
4.57,0.01
4.97,0.01
5.37,0.01
5.77,0.01
6.17,0.01
6.57,0.01
6.98,0.01
7.38,0.01
7.78,0.01
